name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
William E. McLellin	male	https://en.wikipedia.org/wiki/William_E._McLellin	https://www.josephsmithpapers.org/person/william-earl-mclellin		18 Jan 1806	18 Jan 1806	18 Jan 1806	1806.0	Jan	18.0	24 Apr 1883	24 Apr 1883	24 Apr 1883	1883.0	Apr	24.0	3 Dec 1832	3 Dec 1832	3 Dec 1832	1832	Dec	3.0	Original member of the Quorum of the Twelve Apostles	Original member of the Quorum of the Twelve Apostles		excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://www.josephsmithpapers.org/paper-summary/journal-1832-1834/4).					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Jesse Gause	male	https://en.wikipedia.org/wiki/Jesse_Gause	https://www.josephsmithpapers.org/person/jesse-gause		1785	1785	1785	1785.0			1836?	1836?	1836	1836.0			prob. 3 Dec 1832	prob. 3 Dec 1832	3 Dec 1832	1832	Dec	3.0	First Presidency member and missionary	First Presidency member and missionary		excommunicated	excommunicated			Apparently excommunicated, for reasons unknown. A former Quaker and Shaker, his conversion to Mormonism introduced strain on his marriage that may have been a factor in his estrangement from the church.	[Apparently excommunicated](https://www.josephsmithpapers.org/person/jesse-gause), for reasons unknown. A former Quaker and Shaker, his conversion to Mormonism introduced strain on his marriage that may have been a factor in his estrangement from the church.					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Burr Riggs	male		https://www.josephsmithpapers.org/person/burr-riggs		17 Apr 1811	[17 Apr 1811](https://www.josephsmithpapers.org/person/burr-riggs)	17 Apr 1811	1811.0	Apr	17.0	1860	1860	1860	1860.0			26 Feb 1833	26 Feb 1833	26 Feb 1833	1833	Feb	26.0	Zelph Co-discoverer	Zelph Co-discoverer		excommunicated	excommunicated	['neglecting to make satisfaction to the church as he had agreed', 'disgracing the high priesthood by neglect of ', 'saying he did not care how soon he was cut off from the church']		"Excommunicated by a conference of high priests in Kirtland, for ""neglecting to make satisfaction to the church as he had agreed, and disgracing the high priesthood by neglect of duty and saying he did not care how soon he was cut off from the church. &c. &c"" On February 13th, a ""council of High priests assembled to investigate the proceedings of Bro Burr Riggs, who was accused of not magnifying his calling as a high priest, but had been guilty of neglect of duty, of abusing the elders, and of treating their admonitions with contempt. After the council had considered the case, Brother Riggs agreed to make satisfaction, but did not shew much humility."" After his excommunication he was later reinstated in the church, and also later excommunicated, and reinstated yet again."	"[Excommunicated by a conference of high priests in Kirtland, for ""neglecting to make satisfaction to the church as he had agreed, and disgracing the high priesthood by neglect of duty and saying he did not care how soon he was cut off from the church. &c. &c""](https://www.josephsmithpapers.org/paper-summary/history-1838-1856-volume-a-1-23-december-1805-30-august-1834/281) On [February 13th](https://www.josephsmithpapers.org/paper-summary/history-1838-1856-volume-a-1-23-december-1805-30-august-1834/280), a ""council of High priests assembled to investigate the proceedings of Bro Burr Riggs, who was accused of not magnifying his calling as a high priest, but had been guilty of neglect of duty, of abusing the elders, and of treating their admonitions with contempt. After the council had considered the case, Brother Riggs agreed to make satisfaction, but did not shew much humility."" After his excommunication he was [later reinstated](https://www.josephsmithpapers.org/person/burr-riggs) in the church, and also later excommunicated, and reinstated yet again."					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Doctor Philastus Hurlbut	male	https://en.wikipedia.org/wiki/Doctor_Philastus_Hurlbut			3 Feb 1809	3 Feb 1809	3 Feb 1809	1809.0	Feb	3.0	16 Jun 1883	16 Jun 1883	16 Jun 1883	1883.0	Jun	16.0	3 Jun 1833	3 Jun 1833	3 Jun 1833	1833	Jun	3.0	Amorous Apostate, Early Church Foe	Amorous Apostate, Early Church Foe		excommunicated	excommunicated	unchristian conduct with the female sex while on a mission to the east		"Excommunicated in absentia for ""unchristian conduct with the female sex while on a mission to the east"". He was found sufficiently penitent upon appeal that his membership was restored 21 Jun 1833 only to be revoked again two days later because he had reportedly claimed to have ""deceived"" the prior council. He went on to become a notorious critic of Mormonism, being a major contributor to Eber D. Howe's _Mormonism Unvailed_ , for which he collected affidavits against the character of Joseph Smith and his family."	"[Excommunicated in absentia for ""unchristian conduct with the female sex while on a mission to the east""](https://www.josephsmithpapers.org/paper-summary/minute-book-1/16). He was found sufficiently penitent upon appeal that [his membership was restored 21 Jun 1833](https://www.josephsmithpapers.org/paper-summary/minute-book-1/25) only to be [revoked again two days later](https://www.josephsmithpapers.org/paper-summary/minute-book-1/26) because he had reportedly claimed to have ""deceived"" the prior council. He went on to become a notorious critic of Mormonism, being a major contributor to Eber D. Howe's _Mormonism Unvailed_, for which he collected affidavits against the character of Joseph Smith and his family."					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Daniel Copley	male		https://www.josephsmithpapers.org/person/daniel-copley		abt. 1811	abt. 1811	1811	1811.0			6 Jul 1862	6 Jul 1862	6 Jul 1862	1862.0	Jul	6.0	21 Jun 1833	21 Jun 1833	21 Jun 1833	1833	Jun	21.0	Reluctant missionary	Reluctant missionary		excommunicated	excommunicated	because he refused to fulfill his mission according to the Council of the High Priesthood of the holy order of God		"Excommunicated ""because he refused to fulfill his mission according to the Council of the High Priesthood of the holy order of God"". Much like his likewise-excommunicated father, Leman Copley, Daniel Copley struggled to be ""all in"" on the church. When assigned to serve a mission with (later excommunicated) Doctor Philastus Hurlbut, he refused. He later went on to serve in the First Regiment of Wisconsin Volunteers in the American Civil War."	"[Excommunicated ""because he refused to fulfill his mission according to the Council of the High Priesthood of the holy order of God""](https://www.josephsmithpapers.org/paper-summary/minutes-21-june-1833/1). Much like his likewise-excommunicated father, Leman Copley, Daniel Copley struggled to be ""all in"" on the church. When assigned to serve a mission with (later excommunicated) Doctor Philastus Hurlbut, [he refused](https://www.josephsmithpapers.org/person/daniel-copley). He later went on to serve in the First Regiment of Wisconsin Volunteers in the American Civil War."					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
William E. McLellin	male	https://en.wikipedia.org/wiki/William_E._McLellin	https://www.josephsmithpapers.org/person/william-earl-mclellin		18 Jan 1806	18 Jan 1806	18 Jan 1806	1806.0	Jan	18.0	24 Apr 1883	24 Apr 1883	24 Apr 1883	1883.0	Apr	24.0	4 Aug 1835	4 Aug 1835	4 Aug 1835	1835	Aug	4.0	Original member of the Quorum of the Twelve Apostles	Original member of the Quorum of the Twelve Apostles		disfellowshipped	disfellowshipped			"Disfellowshipped for failing to solicit donations for ""a house in which to receive an endowment"", and for a ""libel"" against the church due to this seemingly innocuous quotation from a letter he wrote his wife: ""You say, that it will not be in your power to go to school this summer---I am glad that it is not, since Eld[e]r [Orson] Hyde has returned and given, me a description of the manner in which it is conducted. though we do not wish to cast any reflections."""	"[Disfellowshipped](https://www.josephsmithpapers.org/paper-summary/letter-to-quorum-of-the-twelve-4-august-1835/2) for failing to solicit donations for ""a house in which to receive an endowment"", and for a ""libel"" against the church due to this seemingly innocuous quotation from a letter he wrote his wife: ""You say, that it will not be in your power to go to school this summer---I am glad that it is not, since Eld\[e\]r \[Orson\] Hyde has returned and given, me a description of the manner in which it is conducted. though we do not wish to cast any reflections."""																			['19th Century']							
James Patten	male																7 Aug 1835	7 Aug 1835	7 Aug 1835	1835	Aug	7.0				excommunicated	excommunicated	['improper conduct', 'refusing to give up his license']		"Excommunicated for ""improper conduct, and refusing to give up his license""."	"[Excommunicated for ""improper conduct, and refusing to give up his license""](https://byustudies.byu.edu/content/volume-2-chapter-17)."					Bradford, Essex, Massachusetts, United States	Bradford, Essex, Massachusetts, United States	Bradford, Massachusetts	United States	Massachusetts	Essex	Bradford		Bradford, Essex, Massachusetts, United States	United States	Massachusetts	Essex	Bradford		['19th Century']							
Harvey G. Whitlock	male	https://en.wikipedia.org/wiki/Harvey_G._Whitlock	https://www.josephsmithpapers.org/person/harvey-gilman-whitlock		1809	1809	1809	1809.0			after 1880	after 1880	1880	1880.0			by 28 Sep 1835	by 28 Sep 1835	28 Sep 1835	1835	Sep	28.0	Early Mormon physician, Book of Commandments witness	Early Mormon physician, Book of Commandments witness		excommunicated	excommunicated			Excommunicated, perhaps for adultery. He was rebaptized around 30 Jan 1836.	[Excommunicated](https://www.josephsmithpapers.org/paper-summary/journal-1835-1836/43), perhaps [for adultery](https://catalog.churchofjesuschrist.org/assets?id=6356ac4d-c36f-483c-b90e-37ce4fa02547&crate=0&index=266). He was [rebaptized](https://www.josephsmithpapers.org/paper-summary/minute-book-1/141) around 30 Jan 1836.																			['19th Century']							
John F. Boynton	male	https://en.wikipedia.org/wiki/John_F._Boynton	https://www.josephsmithpapers.org/person/john-farnham-boynton		20 Sep 1811	20 Sep 1811	20 Sep 1811	1811.0	Sep	20.0	20 Oct 1890	20 Oct 1890	20 Oct 1890	1890.0	Oct	20.0	1837	1837	1837	1837			Original member of the Quorum of the Twelve Apostles, geologist, inventor	Original member of the Quorum of the Twelve Apostles, geologist, inventor		excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://www.josephsmithpapers.org/person/john-farnham-boynton).					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Solomon Wilbur Denton	male	https://en.wikipedia.org/wiki/Solomon_Wilbur_Denton			1816	1816	1816	1816.0			1864	1864	1864	1864.0			Apr? 1837	Apr? 1837	Apr 1837	1837	Apr		Printer, bodyguard	Printer, bodyguard		excommunicated	excommunicated	['lack of faith', 'non-observance of duties', 'contempt for the quorum of High Priests']		"Excommunicated ""for lack of faith, non-observance of duties and contempt for the quorum of High Priests"". He had testified in court that Joseph Smith had recruited him to murder Grandison Newell (a murder which never occurred)."	"[Excommunicated ""for lack of faith, non-observance of duties and contempt for the quorum of High Priests""](https://archive.org/details/PainesvilleTelegraph9June1837/page/n1). He had testified in court that Joseph Smith had recruited him to murder Grandison Newell (a murder which never occurred)."																			['19th Century']							
